Date,District,Rainfall_Today_mm,Cumulative_7Day_mm,Slope_Angle,Elevation_m,Disaster_Occurred,Intensity_Score
2023-06-21,Nuwara Eliya,10.72,51.14,43.65,1799.28,0,0.14
2021-08-06,Badulla,2.0,41.73,38.21,681.07,0,0.11
2021-04-26,Kegalle,2.8,16.85,39.68,196.45,0,0.12
2020-08-31,Matara,9.7,21.0,16.66,49.03,0,0.1
2019-03-13,Kandy,11.4,47.39,14.19,43.09,0,0.13
2021-01-02,Gampaha,25.34,48.5,3.44,16.45,0,0.04
2018-02-22,Matara,3.19,39.23,16.05,41.31,0,0.06
2023-05-05,Kegalle,1.4,17.28,40.67,195.26,0,0.0
2020-10-14,Gampaha,18.09,41.43,4.39,17.98,0,0.05
2020-07-28,Colombo,20.81,49.4,1.66,5.75,0,0.14
2020-03-29,Badulla,26.61,60.96,41.55,683.78,0,0.07
2020-07-17,Matale,3.74,47.52,15.92,54.52,0,0.03
2022-04-09,Matale,2.83,41.92,15.18,50.99,0,0.1
2020-03-20,Ratnapura,5.55,28.44,35.82,129.38,0,0.03
2023-06-21,Badulla,36.48,77.59,40.98,679.26,0,0.13
2022-04-01,Colombo,16.97,50.86,1.26,15.52,0,0.09
2018-06-11,Colombo,33.54,65.78,2.75,0.49,0,0.06
2019-05-03,Kalutara,8.47,11.38,12.38,14.26,0,0.02
2022-08-01,Kandy,0.37,17.24,16.48,47.43,0,0.0
2020-05-17,Gampaha,7.75,51.64,4.32,8.62,0,0.01
2020-05-07,Kalutara,7.77,14.35,11.46,22.83,0,0.13
2022-03-06,Kandy,3.67,25.44,14.62,46.54,0,0.05
2019-10-27,Ratnapura,8.21,36.62,33.31,133.66,0,0.1
2020-08-30,Galle,19.79,50.1,15.71,53.84,0,0.04
2020-12-04,Kalutara,23.11,26.1,12.62,15.75,0,0.1
2019-05-31,Gampaha,25.86,64.71,7.25,12.16,0,0.03
2021-01-18,Galle,38.0,45.35,15.68,45.03,0,0.12
2021-10-15,Nuwara Eliya,2.41,48.28,48.16,1794.92,0,0.04
2022-09-20,Colombo,1.61,2.0,2.66,8.1,0,0.09
2019-04-04,Matara,5.55,9.37,11.78,50.92,0,0.04
2019-08-21,Kegalle,15.34,58.54,37.38,200.96,0,0.07
2019-05-08,Matale,132.36,349.92,13.32,52.01,0,0.1
2022-09-01,Nuwara Eliya,14.36,18.02,41.8,1802.31,0,0.09
2018-06-03,Kalutara,59.62,447.66,13.1,12.09,0,0.08
2019-03-26,Kegalle,5.18,17.55,38.72,202.44,0,0.1
2020-11-28,Ratnapura,11.81,12.42,35.46,123.98,0,0.0
2022-06-25,Gampaha,18.07,30.76,2.02,12.34,0,0.04
2018-12-15,Badulla,16.42,20.96,48.99,672.68,0,0.0
2022-06-23,Ratnapura,24.32,43.64,31.59,127.89,0,0.09
2021-01-10,Nuwara Eliya,78.27,382.14,43.39,1803.73,1,2.05
2022-05-23,Kandy,13.94,55.93,15.98,58.51,0,0.02
2018-07-18,Galle,16.17,26.41,17.82,47.97,0,0.09
2019-07-07,Badulla,25.27,40.03,41.14,680.43,0,0.13
2023-04-05,Badulla,13.93,37.1,40.69,686.07,0,0.01
2019-09-20,Galle,19.78,49.3,14.67,53.33,0,0.01
2021-09-11,Kandy,149.44,514.26,13.27,53.23,0,0.01
2023-06-11,Kalutara,13.44,43.93,13.62,21.69,0,0.13
2020-05-18,Colombo,3.35,53.33,0.29,0.38,0,0.06
2022-04-01,Matara,1.3,22.02,15.51,57.84,0,0.11
2018-02-01,Matale,7.83,31.92,15.27,41.25,0,0.05
2022-05-03,Nuwara Eliya,20.53,55.95,43.15,1801.65,0,0.03
2021-01-09,Colombo,4.97,45.14,-0.41,4.09,0,0.02
2021-11-02,Galle,0.25,7.36,14.16,54.71,0,0.03
2021-09-25,Nuwara Eliya,14.29,29.89,46.47,1805.71,0,0.07
2021-01-28,Nuwara Eliya,216.03,607.11,44.41,1799.64,1,2.86
2023-04-08,Matara,6.32,8.91,16.78,52.88,0,0.08
2018-10-10,Kalutara,13.24,44.49,12.84,13.49,0,0.05
2020-11-11,Badulla,3.0,45.54,40.44,680.01,0,0.15
2021-04-17,Kegalle,140.72,298.15,38.67,197.52,1,2.76
2020-06-20,Ratnapura,23.25,41.05,37.02,129.07,0,0.01
2022-02-21,Badulla,5.75,54.85,40.98,681.06,0,0.12
2019-01-26,Galle,34.75,48.64,14.28,43.37,0,0.04
2019-12-15,Colombo,88.23,309.31,-0.66,5.39,1,3.45
2022-02-06,Nuwara Eliya,12.67,22.94,41.31,1795.35,0,0.07
2018-07-27,Kegalle,86.47,209.57,41.9,193.57,0,0.01
